startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation
1542,1,1,,,,10002,徳川家康,2,,三河国岡崎にて出生,,https://upload.wikimedia.org/wikipedia/commons/2/20/Tokugawa_Ieyasu2_full.JPG,https://upload.wikimedia.org/wikipedia/commons/2/20/Tokugawa_Ieyasu2_full.JPG,"Kanō Tan'yū, Public domain, via Wikimedia Commons"
1547,1,1,,,,10002,徳川家康,2,,織田信秀の人質となる,,https://ja.wikipedia.org/wiki/%E5%BE%B3%E5%B7%9D%E5%AE%B6%E5%BA%B7,,
1549,1,1,,,,10002,徳川家康,2,,今川義元の人質として駿府へ,,,,
1555,1,1,,,,10002,徳川家康,2,,今川義元のもとで元服,,,,
1557,1,1,,,,10002,徳川家康,2,,築山殿と結婚,,https://ja.wikipedia.org/wiki/%E7%AF%89%E5%B1%B1%E6%AE%BF,,
1560,1,1,,,,10002,徳川家康,2,,桶狭間の戦いに今川方で出陣,,,,
1562,1,1,,,,10002,徳川家康,2,,織田信長と同盟(清洲同盟),,,,
1566,1,1,,,,10002,徳川家康,2,,三河統一　松平家から徳川家に改姓,,,,
1570,1,1,,,,10002,徳川家康,2,,姉川の戦いに参戦,,,,
1572,1,1,,,,10002,徳川家康,2,,三方ヶ原の戦いで武田軍に大敗,,https://upload.wikimedia.org/wikipedia/commons/7/73/Mikatagaharasenekizou.jpg,https://upload.wikimedia.org/wikipedia/commons/7/73/Mikatagaharasenekizou.jpg,"Tokugawa Art Museum, Public domain, via Wikimedia Commons"
1575,1,1,,,,10002,徳川家康,2,,長篠の戦いで織田軍と勝利,,,,
1579,1,1,,,,10002,徳川家康,2,,信長の命により妻・長男を殺害,,https://ja.wikipedia.org/wiki/%E6%9D%BE%E5%B9%B3%E4%BF%A1%E5%BA%B7#%E4%BF%A1%E5%BA%B7%E8%87%AA%E5%88%83%E4%BA%8B%E4%BB%B6%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6,,
1582,1,1,,,,10002,徳川家康,2,,本能寺の変,,,,
1584,1,1,,,,10002,徳川家康,2,,小牧・長久手の戦いで秀吉と対決,,https://ja.wikipedia.org/wiki/%E5%B0%8F%E7%89%A7%E3%83%BB%E9%95%B7%E4%B9%85%E6%89%8B%E3%81%AE%E6%88%A6%E3%81%84,,
1586,1,1,,,,10002,徳川家康,2,,秀吉に臣従　駿府城へ,,,,
1590,1,1,,,,10002,徳川家康,2,,小田原征伐　江戸城へ入場,,https://ja.wikipedia.org/wiki/%E5%B0%8F%E7%94%B0%E5%8E%9F%E5%BE%81%E4%BC%90,,
1593,1,1,,,,10002,徳川家康,2,,徳川秀忠の誕生,,,,
1598,1,1,,,,10002,徳川家康,2,,五大老の一人に就任　秀吉死後に実権を握る,,,,
1600,1,1,,,,10002,徳川家康,2,,関ヶ原の戦いで西軍に勝利,,https://upload.wikimedia.org/wikipedia/commons/f/fa/The-Battlefield-of-Sekigahara-2.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fa/The-Battlefield-of-Sekigahara-2.jpg,"Evelyn-rose, CC0, via Wikimedia Commons"
1603,1,1,,,,10002,徳川家康,2,,江戸幕府を開府し初代将軍に就任,,https://ja.wikipedia.org/wiki/%E6%B1%9F%E6%88%B8%E5%B9%95%E5%BA%9C,,
1605,1,1,,,,10002,徳川家康,2,,将軍職を徳川秀忠に譲る,,,,
1614,1,1,,,,10002,徳川家康,2,,大坂冬の陣を指揮,,https://ja.wikipedia.org/wiki/%E5%A4%A7%E5%9D%82%E3%81%AE%E9%99%A3#%E5%A4%A7%E5%9D%82%E5%86%AC%E3%81%AE%E9%99%A3,,
1615,1,1,,,,10002,徳川家康,2,,大坂夏の陣で豊臣氏を滅亡させる,,https://upload.wikimedia.org/wikipedia/commons/d/de/Osaka_U-no-toshi-zu.jpg,https://upload.wikimedia.org/wikipedia/commons/d/de/Osaka_U-no-toshi-zu.jpg,"Unknown, National Archives of Japan, Public domain, via Wikimedia Commons"
1616,1,1,,,,10002,徳川家康,2,,駿府で死去(享年75),,https://ja.wikipedia.org/wiki/%E6%97%A5%E5%85%89%E6%9D%B1%E7%85%A7%E5%AE%AE,,
1542,1,1,1616,1,1,10002,徳川家康,1,,徳川家康,#3C7D22,,,
