startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation,,
-5000,1,1,-3125,1,1,11001,古代エジプト,1,,先王朝時代,#4D93D9,,,,,
-3125,1,1,-2686,1,1,11001,古代エジプト,1,,初期王朝時代(1-2王朝),#44B3E1,,,,,
-2686,1,1,-2181,1,1,11001,古代エジプト,1,,古王国(3-6王朝),#47D359,,,,,
-2181,1,1,-2055,1,1,11001,古代エジプト,1,,第1中間期(7-10王朝),#E49EDD,,,,,
-2055,1,1,-1795,1,1,11001,古代エジプト,1,,中王国(11-12王朝),#BE5014,,,,,
-1795,1,1,-1550,1,1,11001,古代エジプト,1,,第2中間期(13-17王朝),#47D359,,,,,
-1550,1,1,-1069,1,1,11001,古代エジプト,1,,新王国(18-20王朝),#4D93D9,,,,,
-1069,1,1,-664,1,1,11001,古代エジプト,1,,第3中間期(大司祭　21-26王朝),#BE5014,,,,,
-664,1,1,-332,1,1,11001,古代エジプト,1,,末期王国(27ー31王朝),#44B3E1,,,,,
-332,1,1,-30,1,1,11001,古代エジプト,1,,プトレマイオス朝,#47D359,,,,,
-3150,1,1,,,,11001,古代エジプト,2,,ナルメル王【1】 エジプト全土を統一,,https://ja.wikipedia.org/wiki/%E3%83%8A%E3%83%AB%E3%83%A1%E3%83%AB,https://upload.wikimedia.org/wikipedia/commons/b/b2/NarmerPalette_ROM.jpg,No machine-readable author provided. Captmondo assumed (based on copyright claims)., Public domain, via Wikimedia Commons
-2668,1,1,,,,11001,古代エジプト,2,,ジョセル王【3】　階段ピラミッド建設,,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%82%A7%E3%82%BB%E3%83%AB%E7%8E%8B%E3%81%AE%E3%83%94%E3%83%A9%E3%83%9F%E3%83%83%E3%83%89,https://upload.wikimedia.org/wikipedia/commons/6/60/Saqqara_BW_5.jpg,"Berthold Werner, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons",,
-2589,1,1,,,,11001,古代エジプト,2,,クフ王【4】　ギザに大ピラミッド建設,,https://ja.wikipedia.org/wiki/%E3%82%AE%E3%82%B6%E3%81%AE%E5%A4%A7%E3%83%94%E3%83%A9%E3%83%9F%E3%83%83%E3%83%89,https://upload.wikimedia.org/wikipedia/commons/5/51/Great_Pyramid_Giza_%282%29.jpg,"Radosław Botev, CC BY 3.0 PL <https://creativecommons.org/licenses/by/3.0/pl/deed.en>, via Wikimedia Commons",,
-2184,1,1,,,,11001,古代エジプト,2,,ペピ2世【6】崩御に伴い中央集権崩壊,,https://ja.wikipedia.org/wiki/%E3%83%9A%E3%83%942%E4%B8%96,https://upload.wikimedia.org/wikipedia/commons/4/44/PepiIIPyramid.jpg,"Jon Bodsworth, Copyrighted free use, via Wikimedia Commons",,
