startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation,
-1168,1,1,,,,12031,進撃の巨人,2,1,エルディア部族の奴隷の少女が巨人の起源となる存在と接触し巨人の力を手に入れる,,,,,
-1167,1,1,-1162,1,1,12031,進撃の巨人,2,3,エルディア部族の長フリッツ王　巨人の力を戦争に利用　勢力拡大,,,,,
-1166,1,1,-1162,1,1,12031,進撃の巨人,2,4,フリッツ王と始祖ユミルの娘であるマリア、ローゼ、シーナ誕生(年代不明,,,,,
-1155,1,1,,,,12031,進撃の巨人,2,1,始祖ユミル　フリッツ王を庇って死亡,,,,,
-1155,1,1,,,,12031,進撃の巨人,2,2,始祖ユミルの遺体を食べさせることにより巨人の力を継承させる,,,,,
-350,1,1,,,,12031,進撃の巨人,2,1,エルディア帝国　マーレに侵攻　大陸を掌握,,,,,
0,1,1,,,,12031,進撃の巨人,2,4,エルディア王家(フィリッツ王の正室の子孫)とユミルの民(始祖ユミルの子孫)の両方の血を引き継ぐ王が即位,,,,,
738,1,1,,,,12031,進撃の巨人,2,,エルディア帝国で内戦発生(巨人大戦),,,,,
743,1,1,,,,12031,進撃の巨人,2,,エルディア王カール・フリッツ　タイバー家と画策して巨人大戦を終結させる,,,,,
743,1,1,,,,12031,進撃の巨人,2,1,一部のエルディア人とともにパラディ島へ退避,,,,,
780,1,1,790,1,1,12031,進撃の巨人,2,2,立体機動装置の採用　同装置による巨人討伐,#C00000,,,,
801,1,1,,,,12031,進撃の巨人,2,3,グリシャ・イェーガー誕生,#0070C0,,,,
817,1,1,,,,12031,進撃の巨人,2,4,グリシャの妹が殺される,#0070C0,,,,
819,1,1,,,,12031,進撃の巨人,2,3,グリシャ　「エルディア復権派」に加わる,#0070C0,,,,
832,1,1,,,,12031,進撃の巨人,2,4,グリシャ　「楽園送り」　「進撃の巨人」継承,#0070C0,,,,
833,1,1,,,,12031,進撃の巨人,2,1,グリシャ　壁内に潜入　,#C00000,,,,
834,1,1,,,,12031,進撃の巨人,2,2,グリシャ　カルラと結婚　エレン・イェーガー,#C00000,,,,
835,1,1,,,,12031,進撃の巨人,2,1,エレン・イェーガー誕生,#C00000,,,,
842,1,1,,,,12031,進撃の巨人,2,3,ジーク　「獣の巨人」継承,#0070C0,,,,
844,1,1,,,,12031,進撃の巨人,2,4,ライナー、ベルトルト、アニ、マルセルがそれぞれ「鎧の巨人」「超大型巨人」「女型の巨人」「顎の巨人」の力を継承する,#0070C0,,,,
845,1,1,,,,12031,進撃の巨人,2,3,巨人を継承した4人がパラディ島上陸,#0070C0,,,,
-1168,1,1,845,1,1,12031,進撃の巨人,1,,作品開始以前,#736565,,,,
845,1,1,857,1,1,12031,進撃の巨人,1,,作品開始以降,#9DBF21,,,,
