startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation
-3800000000,1,1,,,,19001,生物進化の歴史,2,1,生命誕生,,,,
-2300000000,1,1,,,,19001,生物進化の歴史,2,2,スノーボールアース,#4D93D9,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%8E%E3%83%BC%E3%83%9C%E3%83%BC%E3%83%AB%E3%82%A2%E3%83%BC%E3%82%B9,,
-2100000000,1,1,,,,19001,生物進化の歴史,2,3,真核生物の出現,,,,
-600000000,1,1,,,,19001,生物進化の歴史,2,1,スノーボールアース,#4D93D9,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%8E%E3%83%BC%E3%83%9C%E3%83%BC%E3%83%AB%E3%82%A2%E3%83%BC%E3%82%B9,,
-575000000,1,1,,,,19001,生物進化の歴史,2,2,エディアカラ動物群,,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%87%E3%82%A3%E3%82%A2%E3%82%AB%E3%83%A9%E7%94%9F%E7%89%A9%E7%BE%A4,,
-535000000,1,1,,,,19001,生物進化の歴史,2,3,バーチェス生物群(カンブリア大爆発),,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%B3%E3%83%96%E3%83%AA%E3%82%A2%E7%88%86%E7%99%BA,,
-500000000,1,1,,,,19001,生物進化の歴史,2,4,生物の上陸,,,,
-444000000,1,1,,,,19001,生物進化の歴史,2,2,O/S境界の大絶滅,#C00000,https://ja.wikipedia.org/wiki/O-S%E5%A2%83%E7%95%8C,,
-440000000,1,1,,,,19001,生物進化の歴史,2,3,昆虫の出現,,https://ja.wikipedia.org/wiki/%E6%98%86%E8%99%AB,,
-374000000,1,1,,,,19001,生物進化の歴史,2,2,F/F境界の大絶滅,#C00000,https://ja.wikipedia.org/wiki/F-F%E5%A2%83%E7%95%8C,,
-360000000,1,1,,,,19001,生物進化の歴史,2,3,両生類の出現,,https://ja.wikipedia.org/wiki/%E4%B8%A1%E7%94%9F%E9%A1%9E,,
-358900000,1,1,-303700000,1,1,19001,生物進化の歴史,2,1,シダ植物の大森林,,https://ja.wikipedia.org/wiki/%E7%9F%B3%E7%82%AD%E7%B4%80,,
-251000000,1,1,,,,19001,生物進化の歴史,2,2,P/T境界の大絶滅,#C00000,https://ja.wikipedia.org/wiki/P-T%E5%A2%83%E7%95%8C,,
-238000000,1,1,,,,19001,生物進化の歴史,2,3,恐竜の出現,,https://ja.wikipedia.org/wiki/%E6%81%90%E7%AB%9C,,
-225000000,1,1,,,,19001,生物進化の歴史,2,4,哺乳類の出現,,https://ja.wikipedia.org/wiki/%E5%93%BA%E4%B9%B3%E9%A1%9E,,
-213000000,1,1,-66000000,1,1,19001,生物進化の歴史,2,1,恐竜の繁栄,,https://ja.wikipedia.org/wiki/%E6%81%90%E7%AB%9C,,
-199600000,1,1,,,,19001,生物進化の歴史,2,2,T/J境界の大絶滅,#C00000,https://ja.wikipedia.org/wiki/T-J%E5%A2%83%E7%95%8C,,
-66000000,1,1,,,,19001,生物進化の歴史,2,2,K/Pt境界の大絶滅,#C00000,https://ja.wikipedia.org/wiki/%E7%99%BD%E4%BA%9C%E7%B4%80%E3%81%A8%E5%8F%A4%E7%AC%AC%E4%B8%89%E7%B4%80%E3%81%AE%E9%96%93%E3%81%AE%E5%A4%A7%E9%87%8F%E7%B5%B6%E6%BB%85,https://upload.wikimedia.org/wikipedia/commons/c/cb/Impact_event.jpg,"The original uploader was Fredrik at English Wikipedia., Public domain, via Wikimedia Commons"
-1900000,1,1,,,,19001,生物進化の歴史,2,1,ホモ(ヒト)属出現,,https://ja.wikipedia.org/wiki/%E3%83%92%E3%83%88%E5%B1%9E,,
-310000,1,1,-40000,1,1,19001,生物進化の歴史,2,2,ネアンデルタール人,,https://ja.wikipedia.org/wiki/%E3%83%8D%E3%82%A2%E3%83%B3%E3%83%87%E3%83%AB%E3%82%BF%E3%83%BC%E3%83%AB%E4%BA%BA,,
-300000,1,1,2025,1,1,19001,生物進化の歴史,2,3,ホモ・サピエンス,,https://ja.wikipedia.org/wiki/%E3%83%92%E3%83%88,,
-4600000000,1,1,-541000000,1,1,19001,生物進化の歴史,1,,先カンブリア時代,#A6A085,,,
-541000000,1,1,2025,1,1,19001,生物進化の歴史,1,,顕生代,#85E5E8,,,
