startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation
1603,1,1,1868,1,1,10100,江戸時代(詳細),1,,江戸時代,#47D359,,,
1603,1,1,,,,10100,江戸時代(詳細),2,,徳川家康、江戸幕府を開く,,,,
1614,1,1,,,,10100,江戸時代(詳細),2,,大坂の陣勃発,,,,
1615,1,1,,,,10100,江戸時代(詳細),2,,豊臣家滅亡,,,,
1637,1,1,,,,10100,江戸時代(詳細),2,,島原の乱勃発,,,,
1639,1,1,,,,10100,江戸時代(詳細),2,,鎖国令発布,,,,
1657,1,1,,,,10100,江戸時代(詳細),2,,明暦の大火発生,,,,
1707,1,1,,,,10100,江戸時代(詳細),2,,富士山噴火,,,,
1716,1,1,,,,10100,江戸時代(詳細),2,,享保の改革開始,,,,
1721,1,1,,,,10100,江戸時代(詳細),2,,目安箱設置,,,,
1732,1,1,,,,10100,江戸時代(詳細),2,,享保の大飢饉発生,,,,
1754,1,1,,,,10100,江戸時代(詳細),2,,宝暦事件発生,,,,
1772,1,1,,,,10100,江戸時代(詳細),2,,田沼時代,,,,
1782,1,1,,,,10100,江戸時代(詳細),2,,天明の大飢饉発生,,,,
1787,1,1,,,,10100,江戸時代(詳細),2,,寛政の改革開始,,,,
1792,1,1,,,,10100,江戸時代(詳細),2,,ロシア使節ラックスマン来航,,,,
1804,1,1,,,,10100,江戸時代(詳細),2,,文化露寇開始,,,,
1825,1,1,,,,10100,江戸時代(詳細),2,,異国船打払令発布,,,,
1833,1,1,,,,10100,江戸時代(詳細),2,,天保の大飢饉発生,,,,
1837,1,1,,,,10100,江戸時代(詳細),2,,大塩平八郎の乱勃発,,,,
1840,1,1,,,,10100,江戸時代(詳細),2,,アヘン戦争勃発,,,,
1841,1,1,,,,10100,江戸時代(詳細),2,,天保の改革開始,,,,
1842,1,1,,,,10100,江戸時代(詳細),2,,薪水給与令発布,,,,
1853,1,1,,,,10100,江戸時代(詳細),2,,ペリー来航,,,,
1854,1,1,,,,10100,江戸時代(詳細),2,,日米和親条約締結,,,,
1858,1,1,,,,10100,江戸時代(詳細),2,,安政五カ国条約締結,,,,
1860,1,1,,,,10100,江戸時代(詳細),2,,桜田門外の変発生,,,,
1862,1,1,,,,10100,江戸時代(詳細),2,,文久の改革開始,,,,
1863,1,1,,,,10100,江戸時代(詳細),2,,長州藩外国船砲撃事件,,,,
1863,1,1,,,,10100,江戸時代(詳細),2,,八月十八日の政変,,,,
1864,1,1,,,,10100,江戸時代(詳細),2,,禁門の変勃発,,,,
1866,1,1,,,,10100,江戸時代(詳細),2,,薩長同盟締結,,,,
1867,1,1,,,,10100,江戸時代(詳細),2,,大政奉還,,,,
1868,1,1,,,,10100,江戸時代(詳細),2,,王政復古の大号令発布,,,,
1868,1,1,,,,10100,江戸時代(詳細),2,,戊辰戦争勃発,,,,
