startYear,startMonth,startDay,endYear,endMonth,endDay,event,image,group,groupTitle,eventColor,imageCitation
1537,1,1,,,,誕生,https://upload.wikimedia.org/wikipedia/commons/0/09/Toyotomi_Hideyoshi_c1598_Kodai-ji_Temple.png,1005,豊臣秀吉,,"Kanō Mitsunobu (狩野 光信, 1565–1608), Public domain, via Wikimedia Commons"
1553,1,1,,,,竹中半兵衛と出会う,,1005,豊臣秀吉,,
1554,1,1,,,,織田信長に従える,,1005,豊臣秀吉,,
1570,1,1,,,,金ケ崎の引き口,,1005,豊臣秀吉,,
1573,1,1,,,,木下から羽柴に改める,,1005,豊臣秀吉,,
1575,1,1,,,,長篠の戦いに参加,,1005,豊臣秀吉,,
1582,1,1,,,,本能寺の変　中国大返し,,1005,豊臣秀吉,,
1583,1,1,,,,賤ヶ岳の戦いに勝利,,1005,豊臣秀吉,,
1585,1,1,,,,関白に任命される,,1005,豊臣秀吉,,
1586,1,1,,,,豊臣の姓を賜る,,1005,豊臣秀吉,,
1588,1,1,,,,刀狩令を発布,,1005,豊臣秀吉,,
1590,1,1,,,,小田原攻め,,1005,豊臣秀吉,,
1592,1,1,,,,朝鮮出兵を開始,,1005,豊臣秀吉,,
1594,1,1,,,,伏見城を築城,https://upload.wikimedia.org/wikipedia/commons/c/ca/Fushimi2.jpg,1005,豊臣秀吉,,"投稿者がファイル作成, Public domain, via Wikimedia Commons"
1595,1,1,,,,秀次事件が発生,,1005,豊臣秀吉,,
1598,1,1,,,,死去,,1005,豊臣秀吉,,
1537,1,1,1598,1,1,豊臣秀吉,,1005,豊臣秀吉,#3C7D22,
