startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation
1537,1,1,,,,1005,豊臣秀吉,2,1,誕生,,https://upload.wikimedia.org/wikipedia/commons/0/09/Toyotomi_Hideyoshi_c1598_Kodai-ji_Temple.png,https://upload.wikimedia.org/wikipedia/commons/0/09/Toyotomi_Hideyoshi_c1598_Kodai-ji_Temple.png,"Kanō Mitsunobu (狩野 光信, 1565–1608), Public domain, via Wikimedia Commons"
1553,1,1,,,,1005,豊臣秀吉,2,2,竹中半兵衛と出会う,,,,
1554,1,1,,,,1005,豊臣秀吉,2,3,織田信長に従える,,,,
1570,1,1,,,,1005,豊臣秀吉,2,4,金ケ崎の引き口,,,,
1573,1,1,,,,1005,豊臣秀吉,2,1,木下から羽柴に改める,,,,
1575,1,1,,,,1005,豊臣秀吉,2,2,長篠の戦いに参加,,,,
1582,1,1,,,,1005,豊臣秀吉,2,3,本能寺の変　中国大返し,,,,
1583,1,1,,,,1005,豊臣秀吉,2,4,賤ヶ岳の戦いに勝利,,,,
1585,1,1,,,,1005,豊臣秀吉,2,1,関白に任命される,,,,
1586,1,1,,,,1005,豊臣秀吉,2,2,豊臣の姓を賜る,,,,
1588,1,1,,,,1005,豊臣秀吉,2,3,刀狩令を発布,,,,
1590,1,1,,,,1005,豊臣秀吉,2,4,小田原攻め,,,,
1592,1,1,,,,1005,豊臣秀吉,2,1,朝鮮出兵を開始,,,,
1594,1,1,,,,1005,豊臣秀吉,2,2,伏見城を築城,,https://upload.wikimedia.org/wikipedia/commons/c/ca/Fushimi2.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Fushimi2.jpg,"投稿者がファイル作成, Public domain, via Wikimedia Commons"
1595,1,1,,,,1005,豊臣秀吉,2,3,秀次事件が発生,,,,
1598,1,1,,,,1005,豊臣秀吉,2,4,死去,,,,
1537,1,1,1598,1,1,1005,豊臣秀吉,1,,豊臣秀吉,#3C7D22,,,
