startYear,startMonth,startDay,endYear,endMonth,endDay,event,image,group,groupTitle,eventColor,imageCitation
1521,1,1,,,,武田信玄誕生,https://upload.wikimedia.org/wikipedia/commons/0/0e/Takeda_Daizen_no_tay%C5%AB_Harunobu_Ny%C5%ABd%C5%8D_Shingen.jpg,10003,武田信玄,,"月岡芳年, Public domain, via Wikimedia Commons"
1540,1,1,,,,武田家家督相続,,10003,武田信玄,,
1553,1,1,,,,上杉謙信と初戦(川中島の戦い),,10003,武田信玄,,
1545,1,1,,,,高遠合戦,,10003,武田信玄,,
1552,1,1,,,,小岩嶽城,,10003,武田信玄,,
1555,1,1,,,,第二次川中島の戦い,,10003,武田信玄,,
1557,1,1,,,,第三次川中島の戦い,,10003,武田信玄,,
1559,1,1,,,,永禄の飢饉　甲斐国に大規模な水害,,10003,武田信玄,,
1561,1,1,,,,第四次川中島の戦い,https://upload.wikimedia.org/wikipedia/commons/a/a6/Sengoku_period_battle.jpg,10003,武田信玄,,"[1], Public domain, via Wikimedia Commons"
1564,1,1,,,,第五次川中島の戦い,,10003,武田信玄,,
1568,1,1,,,,駿河侵攻開始,,10003,武田信玄,,
1573,1,1,,,,野田城の戦い後、甲斐に帰途中に死去,,10003,武田信玄,,
1521,1,1,1573,1,1,武田信玄,,10003,武田信玄,#3C7D22,
1582,1,1,,,,武田家滅亡,,10003,武田信玄,,
