startYear,startMonth,startDay,endYear,endMonth,endDay,group,groupTitle,eventType,dispPos,event,eventColor,detailLink,image,imageCitation
1521,1,1,,,,10003,武田信玄,2,1,武田信玄誕生,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Takeda_Daizen_no_tay%C5%AB_Harunobu_Ny%C5%ABd%C5%8D_Shingen.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Takeda_Daizen_no_tay%C5%AB_Harunobu_Ny%C5%ABd%C5%8D_Shingen.jpg,"月岡芳年, Public domain, via Wikimedia Commons"
1540,1,1,,,,10003,武田信玄,2,2,武田家家督相続,,,,
1553,1,1,,,,10003,武田信玄,2,3,上杉謙信と初戦(川中島の戦い),,,,
1545,1,1,,,,10003,武田信玄,2,4,高遠合戦,,,,
1552,1,1,,,,10003,武田信玄,2,1,小岩嶽城,,,,
1555,1,1,,,,10003,武田信玄,2,2,第二次川中島の戦い,,,,
1557,1,1,,,,10003,武田信玄,2,3,第三次川中島の戦い,,,,
1559,1,1,,,,10003,武田信玄,2,4,永禄の飢饉　甲斐国に大規模な水害,,,,
1561,1,1,,,,10003,武田信玄,2,1,第四次川中島の戦い,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Takeda_Daizen_no_tay%C5%AB_Harunobu_Ny%C5%ABd%C5%8D_Shingen.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Sengoku_period_battle.jpg,"[1], Public domain, via Wikimedia Commons"
1564,1,1,,,,10003,武田信玄,2,2,第五次川中島の戦い,,,,
1568,1,1,,,,10003,武田信玄,2,3,駿河侵攻開始,,,,
1573,1,1,,,,10003,武田信玄,2,4,野田城の戦い後、甲斐に帰途中に死去,,,,
1521,1,1,1573,1,1,10003,武田信玄,1,,武田信玄,#3C7D22,,,
1582,1,1,,,,10003,武田信玄,2,1,武田家滅亡,,,,
