startYear,startMonth,startDay,endYear,endMonth,endDay,event,image,group,groupTitle,eventColor,imageCitation
1534,6,23,,,,尾張国にて誕生,https://upload.wikimedia.org/wikipedia/commons/3/3b/Oda-Nobunaga.jpg,10001,織田信長,," 狩野元秀（1551〜1601年）, Public domain, via Wikimedia Commons"
1549,1,1,,,,濃姫と結婚,,10001,織田信長,,
1551,1,1,,,,父・信秀の死去,,10001,織田信長,,
1554,1,1,,,,今川義元との対立,,10001,織田信長,,
1555,1,1,,,,織田家内紛を制す,,10001,織田信長,,
1556,1,1,,,,稲葉山城を攻める,,10001,織田信長,,
1557,1,1,,,,美濃斎藤氏との戦い,,10001,織田信長,,
1560,5,19,,,,桶狭間の戦い勝利,,10001,織田信長,,
1562,1,1,,,,徳川家康と同盟,,10001,織田信長,,
1564,1,1,,,,三河一向一揆鎮圧,,10001,織田信長,,
1565,1,1,,,,足利義輝暗殺後の混乱,,10001,織田信長,,
1567,1,1,,,,美濃攻略を達成,,10001,織田信長,,
1568,1,1,,,,足利義昭を上洛,,10001,織田信長,,
1569,1,1,,,,浅井・朝倉連合軍と戦う,,10001,織田信長,,
1570,6,1,,,,姉川の戦い勝利,,10001,織田信長,,
1571,9,1,,,,比叡山焼き討ち,,10001,織田信長,,
1573,1,1,,,,足利義昭を追放,,10001,織田信長,,
1574,1,1,,,,伊勢長島一向一揆制圧,,10001,織田信長,,
1575,5,21,,,,長篠の戦い勝利,https://upload.wikimedia.org/wikipedia/commons/7/79/Battle-of-Nagashino-Map-Folding-Screen-1575.png,10001,織田信長,,"Unknown author (Edo period, circa 18th century), Public domain, via Wikimedia Commons"
1576,1,1,,,,安土城の築城開始,https://upload.wikimedia.org/wikipedia/commons/0/06/Nobunaganoyakata.jpg,10001,織田信長,,"Maakun at Japanese Wikipedia, CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons"
1577,1,1,,,,石山本願寺包囲,,10001,織田信長,,
1578,1,1,,,,上杉謙信の死を知る,,10001,織田信長,,
1579,1,1,,,,安土城完成,,10001,織田信長,,
1580,1,1,,,,石山本願寺降伏,,10001,織田信長,,
1581,1,1,,,,京都御馬揃え開催,,10001,織田信長,,
1582,6,21,,,,本能寺の変で討死,https://upload.wikimedia.org/wikipedia/commons/e/e3/Honnoj.jpg,10001,織田信長,,"Nobukazu Yōsai, Public domain, via Wikimedia Commons"
1534,1,1,1582,1,1,織田信長,,10001,織田信長,#3C7D22,
