startYear,startMonth,startDay,endYear,endMonth,endDay,event,image,group,groupTitle,groupColor
1542,12,26,,,,三河国岡崎城内で誕生,,5,徳川家康,
1555,3,1,,,,今川義元の元で元服,,5,徳川家康,
1560,5,23,,,,岡崎城へ入る,static/img/ieyasu_okazakijo.jpg,5,徳川家康,
1575,5,12,,,,長篠の戦い,static/img/nobunaga_nagasino.jpg,5,徳川家康,
1582,6,2,,,,本能寺の変,static/img/nobunaga_honnoji.jpg,5,徳川家康,
1586,12,4,,,,駿府城へ入る,static/img/ieyasu_sunpujo.jpg,5,徳川家康,
1598,9,18,,,,秀吉 死亡,,5,徳川家康,
1600,9,15,,,,関ヶ原の合戦,https://www.touken-world.jp/wp/wp-content/uploads/bfi_thumb/8cdaa4872f85642c263053527fefde7d-scaled-qgmsczu7cpik7rxq0jhc060k8bg63w60yygjehtl6a.jpg,5,徳川家康,
1614,11,1,,,,大坂冬の陣,https://www.touken-world.jp/wp/wp-content/uploads/2021/01/e916ceac887eeb2500df031af6dc88e1.jpg,5,徳川家康,
1615,5,6,,,,大坂夏の陣,,5,徳川家康,
1616,4,17,,,,死去,,5,徳川家康,
1542,2,20,,,,誕生,,4,八幡平市市長,
1558,4,1,,,,盛岡商業高校入学,,4,八幡平市市長,
1560,4,1,,,,田頭農協就職,,4,八幡平市市長,
1562,4,1,,,,盛岡土木事務所,,4,八幡平市市長,
1563,4,1,,,,西根町主事補,,4,八幡平市市長,
1596,4,1,,,,八幡平市市民課長,,4,八幡平市市長,
1599,4,1,,,,八幡平市企画財政課長,,4,八幡平市市長,
1600,4,1,,,,八幡平市副市長就任,,4,八幡平市市長,
1601,10,1,,,,八幡平市長に当選,,4,八幡平市市長,
