startYear,startMonth,startDay,endYear,endMonth,endDay,event,image,group,groupTitle,eventColor
1542,12,26,,,,三河国岡崎城内で誕生,,5,徳川家康,
1555,3,1,,,,今川義元の元で元服,,5,徳川家康,
1560,5,23,,,,岡崎城へ入る,static/img/ieyasu_okazakijo.jpg,5,徳川家康,
1575,5,12,,,,長篠の戦い,static/img/nobunaga_nagasino.jpg,5,徳川家康,
1582,6,2,,,,本能寺の変,static/img/nobunaga_honnoji.jpg,5,徳川家康,
1586,12,4,,,,駿府城へ入る,static/img/ieyasu_sunpujo.jpg,5,徳川家康,
1598,9,18,,,,秀吉 死亡,,5,徳川家康,
1600,9,15,,,,関ヶ原の合戦,https://www.touken-world.jp/wp/wp-content/uploads/bfi_thumb/8cdaa4872f85642c263053527fefde7d-scaled-qgmsczu7cpik7rxq0jhc060k8bg63w60yygjehtl6a.jpg,5,徳川家康,
1614,11,1,,,,大坂冬の陣,https://www.touken-world.jp/wp/wp-content/uploads/2021/01/e916ceac887eeb2500df031af6dc88e1.jpg,5,徳川家康,
1615,5,6,,,,大坂夏の陣,,5,徳川家康,
1616,4,17,,,,死去,,5,徳川家康,
1542,5,1,,,,織田信秀の嫡男として誕生,,6,織田信長,
1563,1,1,,,,濃姫を娶る,https://www.touken-world.jp/wp/wp-content/uploads/2020/05/2fdf84803842d5dac9abae74a6de7a4b.jpg,6,織田信長,
1568,3,1,,,,家督を継ぐ,,6,織田信長,
1582,5,1,,,,桶狭間の戦い,https://www.touken-world-ukiyoe.jp/app/uploads/2020/07/b78870a2433f99d91d1e588b359aaae2-1024x1522.jpg,6,織田信長,
1592,11,1,,,,天下布武を使用,static/img/nobunaga_tenkafubu.jpg,6,織田信長,
1599,9,1,,,,延暦寺焼き討ち,https://www.touken-world.jp/wp/wp-content/uploads/2019/01/234ec3a4b7798f16f915a812282169dd.jpg,6,織田信長,
1605,5,1,,,,長篠の戦い,static/img/nobunaga_nagasino.jpg,6,織田信長,
1611,5,1,,,,安土城天守閣完成,static/img/nobunaga_azuchi.jpg,6,織田信長,
1616,6,1,,,,本能寺の変,static/img/nobunaga_honnoji.jpg,6,織田信長,
1542,2,20,,,,誕生,,4,八幡平市市長,
1562,4,1,,,,盛岡商業高校入学,,4,八幡平市市長,
1564,4,1,,,,田頭農協就職,,4,八幡平市市長,
1567,4,1,,,,盛岡土木事務所,,4,八幡平市市長,
1568,4,1,,,,西根町主事補,,4,八幡平市市長,
1609,4,1,,,,八幡平市市民課長,,4,八幡平市市長,
1613,4,1,,,,八幡平市企画財政課長,,4,八幡平市市長,
1614,4,1,,,,八幡平市副市長就任,,4,八幡平市市長,
1616,10,1,,,,八幡平市長に当選,,4,八幡平市市長,
